province_name,date_report,Temperature,Relative Humidity
British Columbia,02/26/2020,44.5,87.26
British Columbia,02/27/2020,45.8,86.36
British Columbia,02/28/2020,42.7,87.79
British Columbia,02/29/2020,43.3,74.92
British Columbia,03-01-2020,40.3,77.49
British Columbia,03-02-2020,43.8,89.37
British Columbia,03-03-2020,46.4,81.35
British Columbia,03-04-2020,44.4,68.08
British Columbia,03-05-2020,42.9,79.49
British Columbia,03-06-2020,41.8,69.71
British Columbia,03-07-2020,39.9,77.76
British Columbia,03-08-2020,38.7,75.24
British Columbia,03-09-2020,38.8,73.84
British Columbia,03-10-2020,42.5,80.27
British Columbia,03-11-2020,45.4,69.41
British Columbia,03-12-2020,41.4,73.48
British Columbia,03/13/2020,39.8,60.74
British Columbia,03/14/2020,34.5,40.64
British Columbia,03/15/2020,37.5,37.07
British Columbia,03/16/2020,42.6,53.4
British Columbia,03/17/2020,42.6,65.67
British Columbia,03/18/2020,43.7,75.74
British Columbia,03/19/2020,42.5,85.56
British Columbia,03/20/2020,45.1,80.28
British Columbia,03/21/2020,44.7,81.54
British Columbia,03/22/2020,44.4,80
British Columbia,03/23/2020,44.1,74.03
British Columbia,03/24/2020,42.1,84.61
British Columbia,03/25/2020,43.5,75.13
British Columbia,03/26/2020,43.8,79.23
British Columbia,03/27/2020,45,88.9
British Columbia,03/28/2020,47,89.83
British Columbia,03/29/2020,47,76.27
British Columbia,03/30/2020,42.9,81.72
British Columbia,03/31/2020,42.4,77.59
British Columbia,04-01-2020,42.6,71.67
British Columbia,04-02-2020,41.7,71.65
British Columbia,04-03-2020,40.9,76.84
British Columbia,04-04-2020,42.2,68.74
British Columbia,04-05-2020,44.8,63.78
British Columbia,04-06-2020,45.2,63.76
British Columbia,04-07-2020,46.8,70.67
British Columbia,04-08-2020,47.9,64.78
British Columbia,04-09-2020,47.6,71.75
British Columbia,04-10-2020,48.1,82.74
British Columbia,04-11-2020,49.5,63.95
British Columbia,04-12-2020,50.2,32.63
British Columbia,04/13/2020,48.7,48.2
British Columbia,04/14/2020,49.9,65.92
British Columbia,04/15/2020,51.4,72.2
British Columbia,04/16/2020,53.8,48.2
British Columbia,04/17/2020,48.2,79.83
British Columbia,04/18/2020,50.7,82.5
British Columbia,04/19/2020,49.9,78.85
British Columbia,04/20/2020,50.8,78.73
British Columbia,04/21/2020,50.4,73.56
British Columbia,04/22/2020,48.7,92.67
British Columbia,04/23/2020,51.3,80.31
British Columbia,04/24/2020,50.5,80.3
British Columbia,04/25/2020,51.2,80.44
British Columbia,04/26/2020,51,74.85
British Columbia,04/27/2020,51.4,74.34
British Columbia,04/28/2020,49,80.35
British Columbia,04/29/2020,52.6,72.79
British Columbia,04/30/2020,52.2,69.58
British Columbia,05-01-2020,52.5,68.68
British Columbia,05-02-2020,51.3,79.44
British Columbia,05-03-2020,48.6,75.82
British Columbia,05-04-2020,49.7,73.15
British Columbia,05-05-2020,54.1,72.25
British Columbia,05-06-2020,52.2,64.18
British Columbia,05-07-2020,52.8,66
British Columbia,05-08-2020,62.8,42.99
British Columbia,05-09-2020,66.5,42.04
British Columbia,05-10-2020,68,43.34
British Columbia,05-11-2020,58.9,64.02
British Columbia,05-12-2020,54,85.34
British Columbia,05/13/2020,53.4,83.78
British Columbia,05/14/2020,52.8,79.1
British Columbia,05/15/2020,53.3,76.7
British Columbia,05/16/2020,54,85.73
British Columbia,05/17/2020,53.6,87.72
British Columbia,05/18/2020,53.9,78.84
Quebec,02/27/2020,26.7,83.57
Quebec,02/28/2020,14.5,73.78
Quebec,02/29/2020,11.9,71.86
Quebec,03-01-2020,16.3,70.44
Quebec,03-02-2020,18,75.76
Quebec,03-03-2020,33.4,87.91
Quebec,03-04-2020,32.5,84.99
Quebec,03-05-2020,29.3,54.93
Quebec,03-06-2020,25.3,65.33
Quebec,03-07-2020,20.4,50.85
Quebec,03-08-2020,30.4,57.83
Quebec,03-09-2020,24.5,80.95
Quebec,03-10-2020,25.8,93.3
Quebec,03-11-2020,21.5,72.44
Quebec,03-12-2020,20,73.17
Quebec,03/13/2020,32.5,81.9
Quebec,03/14/2020,30.8,58.65
Quebec,03/15/2020,20.3,49.75
Quebec,03/16/2020,16.3,52.09
Quebec,03/17/2020,29.3,78.01
Quebec,03/18/2020,25.7,58
Quebec,03/19/2020,30.7,63.24
Quebec,03/20/2020,35.8,89.39
Quebec,03/21/2020,21.3,46.89
Quebec,03/22/2020,15.8,49.42
Quebec,03/23/2020,22.9,61.32
Quebec,03/24/2020,34,73.39
Quebec,03/25/2020,32.5,63.77
Quebec,03/26/2020,36,68.17
Quebec,03/27/2020,35.7,81.41
Quebec,03/28/2020,34.5,47.53
Quebec,03/29/2020,35.4,67.09
Quebec,03/30/2020,33.1,89.46
Quebec,03/31/2020,34.7,62.8
Quebec,04-01-2020,33.9,85.23
Quebec,04-02-2020,35.1,93.49
Quebec,04-03-2020,39.4,82.63
Quebec,04-04-2020,38,77.57
Quebec,04-05-2020,39.6,76.65
Quebec,04-06-2020,38.4,53.99
Quebec,04-07-2020,34,53.56
Quebec,04-08-2020,31.7,57.01
Quebec,04-09-2020,32.3,73.76
Quebec,04-10-2020,34.7,76.75
Quebec,04-11-2020,37,54.35
Quebec,04-12-2020,39.6,60.88
Quebec,04/13/2020,41.9,87.55
Quebec,04/14/2020,40.2,54.36
Quebec,04/15/2020,33.9,68.01
Quebec,04/16/2020,30.4,62.96
Quebec,04/17/2020,31.8,53.21
Quebec,04/18/2020,34.7,48.2
Quebec,04/19/2020,38.1,73.62
Quebec,04/20/2020,30.3,58.59
Quebec,04/21/2020,34.2,71.56
Quebec,04/22/2020,27.1,62.04
Quebec,04/23/2020,30.4,41.28
Quebec,04/24/2020,38,33.68
Quebec,04/25/2020,41.9,31.98
Quebec,04/26/2020,43.7,34.5
Quebec,04/27/2020,42,42.84
Quebec,04/28/2020,43.3,52.91
Quebec,04/29/2020,47,51.76
Quebec,04/30/2020,43.5,83.09
Quebec,05-01-2020,47.2,86.06
Quebec,05-02-2020,50,55.82
Quebec,05-03-2020,47.4,79.78
Quebec,05-04-2020,44.2,82.77
Quebec,05-05-2020,39.8,81.84
Quebec,05-06-2020,46.5,48.8
Quebec,05-07-2020,47.3,37.17
Quebec,05-08-2020,38.3,63.05
Quebec,05-09-2020,36.7,50.02
Quebec,05-10-2020,38.7,48.91
Quebec,05-11-2020,44.4,51.41
Quebec,05-12-2020,38.6,50.82
Quebec,05/13/2020,42.7,31.98
Quebec,05/14/2020,52.7,25.57
Quebec,05/15/2020,50.9,58.34
Quebec,05/16/2020,53.1,70.86
Quebec,05/17/2020,56.7,41.06
Quebec,05/18/2020,51.4,33.42
Alberta,03-05-2020,27.6,59.53
Alberta,03-06-2020,21.3,72.46
Alberta,03-07-2020,7.5,81.06
Alberta,03-08-2020,10.1,72.25
Alberta,03-09-2020,19.6,57.95
Alberta,03-10-2020,25.7,50.09
Alberta,03-11-2020,32.5,64.81
Alberta,03-12-2020,23.9,70.38
Alberta,03/13/2020,0.5,60.26
Alberta,03/14/2020,0.4,71.38
Alberta,03/15/2020,3.2,64.46
Alberta,03/16/2020,20.4,53.84
Alberta,03/17/2020,23.2,62.94
Alberta,03/18/2020,16.7,67.15
Alberta,03/19/2020,13.4,75.73
Alberta,03/20/2020,17.3,65.85
Alberta,03/21/2020,25.5,60.44
Alberta,03/22/2020,30.6,56.23
Alberta,03/23/2020,28.8,76.27
Alberta,03/24/2020,23.8,76.2
Alberta,03/25/2020,23.3,68.2
Alberta,03/26/2020,31.2,55.66
Alberta,03/27/2020,36.4,63.62
Alberta,03/28/2020,19.3,72.7
Alberta,03/29/2020,21.8,77.86
Alberta,03/30/2020,14.7,80.1
Alberta,03/31/2020,9.4,74.17
Alberta,04-01-2020,5.4,66.87
Alberta,04-02-2020,5.8,65.59
Alberta,04-03-2020,10.6,65.92
Alberta,04-04-2020,15.7,70.59
Alberta,04-05-2020,16.5,79.04
Alberta,04-06-2020,23.3,73.22
Alberta,04-07-2020,33.6,54.39
Alberta,04-08-2020,31.1,50.15
Alberta,04-09-2020,36.7,57.58
Alberta,04-10-2020,35,65.95
Alberta,04-11-2020,24.9,49.29
Alberta,04-12-2020,22.1,60.37
Alberta,04/13/2020,25.6,54.26
Alberta,04/14/2020,36.9,71.5
Alberta,04/15/2020,33.6,63.52
Alberta,04/16/2020,37.8,62.65
Alberta,04/17/2020,45.4,62.48
Alberta,04/18/2020,38.2,57.37
Alberta,04/19/2020,45.4,51.5
Alberta,04/20/2020,53.9,43.26
Alberta,04/21/2020,55.6,38.2
Alberta,04/22/2020,51.8,40.78
Alberta,04/23/2020,49.8,39.48
Alberta,04/24/2020,51.3,37.89
Alberta,04/25/2020,52.5,35.66
Alberta,04/26/2020,50.3,43.84
Alberta,04/27/2020,49.2,49.92
Alberta,04/28/2020,52.5,36.57
Alberta,04/29/2020,57.5,33.35
Alberta,04/30/2020,52.8,53.43
Alberta,05-01-2020,50.3,49.96
Alberta,05-02-2020,53,45.42
Alberta,05-03-2020,53.3,51.25
Alberta,05-04-2020,42.7,89.62
Alberta,05-05-2020,49.9,62.62
Alberta,05-06-2020,57.7,39.3
Alberta,05-07-2020,57.1,44.23
Alberta,05-08-2020,49.3,69.38
Alberta,05-09-2020,44.4,60.79
Alberta,05-10-2020,39.2,79.15
Alberta,05-11-2020,45.2,45.7
Alberta,05-12-2020,48.1,30.4
Alberta,05/13/2020,49.5,34.72
Alberta,05/14/2020,43.9,49.32
Alberta,05/15/2020,51.2,42.51
Alberta,05/16/2020,60.7,43.81
Alberta,05/17/2020,61.3,49.09
Alberta,05/18/2020,53.7,67.77
Saskatchewan,03-12-2020,24.8,67.88
Saskatchewan,03/13/2020,11.6,66.04
Saskatchewan,03/14/2020,12.7,64.71
Saskatchewan,03/15/2020,17.7,79.27
Saskatchewan,03/16/2020,16.6,69.69
Saskatchewan,03/17/2020,19.2,70.37
Saskatchewan,03/18/2020,14.1,73.37
Saskatchewan,03/19/2020,14.7,54.98
Saskatchewan,03/20/2020,15.8,63.3
Saskatchewan,03/21/2020,22.3,73.39
Saskatchewan,03/22/2020,27.1,68.63
Saskatchewan,03/23/2020,36.4,65.75
Saskatchewan,03/24/2020,29.3,81.92
Saskatchewan,03/25/2020,26.2,76.97
Saskatchewan,03/26/2020,29.7,72.99
Saskatchewan,03/27/2020,35.2,58.6
Saskatchewan,03/28/2020,41.1,59.07
Saskatchewan,03/29/2020,41.5,68.33
Saskatchewan,03/30/2020,42.7,65.81
Saskatchewan,03/31/2020,28.7,86.29
Saskatchewan,04-01-2020,10.8,72.27
Saskatchewan,04-02-2020,9.5,64.37
Saskatchewan,04-03-2020,13.7,64.36
Saskatchewan,04-04-2020,23,70.83
Saskatchewan,04-05-2020,26.7,73.73
Saskatchewan,04-06-2020,32.4,82.79
Saskatchewan,04-07-2020,32.4,68.26
Saskatchewan,04-08-2020,30.3,61.99
Saskatchewan,04-09-2020,27.1,52.46
Saskatchewan,04-10-2020,38.1,56.39
Saskatchewan,04-11-2020,24.7,61.62
Saskatchewan,04-12-2020,18.8,65.63
Saskatchewan,04/13/2020,14.9,67.28
Saskatchewan,04/14/2020,19.6,51.3
Saskatchewan,04/15/2020,26.6,44.32
Saskatchewan,04/16/2020,25.4,66.87
Saskatchewan,04/17/2020,39.9,53.79
Saskatchewan,04/18/2020,34.8,60.16
Saskatchewan,04/19/2020,38,51.86
Saskatchewan,04/20/2020,39.2,50.35
Saskatchewan,04/21/2020,50.9,38.85
Saskatchewan,04/22/2020,48.2,53.41
Saskatchewan,04/23/2020,49.7,50.5
Saskatchewan,04/24/2020,43.3,62.94
Saskatchewan,04/25/2020,45,57.62
Saskatchewan,04/26/2020,51.3,44.59
Saskatchewan,04/27/2020,48.9,47.86
Saskatchewan,04/28/2020,45.4,71.77
Saskatchewan,04/29/2020,53.3,51.61
Saskatchewan,04/30/2020,60.3,46.87
Saskatchewan,05-01-2020,55.6,54.45
Saskatchewan,05-02-2020,48.2,60.05
Saskatchewan,05-03-2020,46,58.84
Saskatchewan,05-04-2020,48.8,67.9
Saskatchewan,05-05-2020,46.9,68.83
Saskatchewan,05-06-2020,52.5,50.44
Saskatchewan,05-07-2020,48.1,36.7
Saskatchewan,05-08-2020,46.6,46.78
Saskatchewan,05-09-2020,37.9,62.78
Saskatchewan,05-10-2020,37.9,40.98
Saskatchewan,05-11-2020,36.7,45.36
Saskatchewan,05-12-2020,43.9,37.68
Saskatchewan,05/13/2020,42.1,78.37
Saskatchewan,05/14/2020,50.8,52.69
Saskatchewan,05/15/2020,47.5,53.75
Saskatchewan,05/16/2020,57.1,42.39
Saskatchewan,05/17/2020,62.6,37.73
Saskatchewan,05/18/2020,65.7,42.89
Manitoba,03-12-2020,29.8,73.15
Manitoba,03/13/2020,14,69.07
Manitoba,03/14/2020,9.5,71.8
Manitoba,03/15/2020,18.2,70.95
Manitoba,03/16/2020,21.3,67.55
Manitoba,03/17/2020,20.8,66.3
Manitoba,03/18/2020,14.3,58.27
Manitoba,03/19/2020,12.5,48.06
Manitoba,03/20/2020,9.6,48.57
Manitoba,03/21/2020,16.8,55.04
Manitoba,03/22/2020,28.4,73.25
Manitoba,03/23/2020,31.9,63.53
Manitoba,03/24/2020,35.3,83.13
Manitoba,03/25/2020,25.1,70.1
Manitoba,03/26/2020,29.4,74.56
Manitoba,03/27/2020,37.4,70.4
Manitoba,03/28/2020,36.7,66.42
Manitoba,03/29/2020,34.7,74.22
Manitoba,03/30/2020,41,56.16
Manitoba,03/31/2020,45.6,46.05
Manitoba,04-01-2020,43.6,52.34
Manitoba,04-02-2020,23.1,87.73
Manitoba,04-03-2020,16.2,72.82
Manitoba,04-04-2020,16.8,62.2
Manitoba,04-05-2020,31.2,66.12
Manitoba,04-06-2020,41.3,66.41
Manitoba,04-07-2020,40,66.33
Manitoba,04-08-2020,35.4,68.37
Manitoba,04-09-2020,28.1,69.02
Manitoba,04-10-2020,37.3,63.93
Manitoba,04-11-2020,32.4,58.25
Manitoba,04-12-2020,26.1,49.97
Manitoba,04/13/2020,19.1,56.95
Manitoba,04/14/2020,20.7,52.64
Manitoba,04/15/2020,26.4,46.79
Manitoba,04/16/2020,30.6,48.41
Manitoba,04/17/2020,38.6,49.93
Manitoba,04/18/2020,38.8,61.85
Manitoba,04/19/2020,35.8,53.16
Manitoba,04/20/2020,33.5,60.71
Manitoba,04/21/2020,30.2,54.83
Manitoba,04/22/2020,41.9,45.12
Manitoba,04/23/2020,49.2,49.89
Manitoba,04/24/2020,48.9,54.2
Manitoba,04/25/2020,45.7,62.32
Manitoba,04/26/2020,52.9,51.19
Manitoba,04/27/2020,53.2,54.23
Manitoba,04/28/2020,50.5,62.81
Manitoba,04/29/2020,50.4,53.87
Manitoba,04/30/2020,58.1,43.14
Manitoba,05-01-2020,57.8,57.29
Manitoba,05-02-2020,44.5,63.7
Manitoba,05-03-2020,37.8,64.15
Manitoba,05-04-2020,43.2,59.98
Manitoba,05-05-2020,49.8,46.04
Manitoba,05-06-2020,44.5,43.99
Manitoba,05-07-2020,38,43.09
Manitoba,05-08-2020,36.8,49.89
Manitoba,05-09-2020,39.6,46.06
Manitoba,05-10-2020,37.6,42.38
Manitoba,05-11-2020,34.6,39.86
Manitoba,05-12-2020,41.3,25.82
Manitoba,05/13/2020,42.9,66.99
Manitoba,05/14/2020,46.8,85.32
Manitoba,05/15/2020,46.5,71.21
Manitoba,05/16/2020,54.2,53.09
Manitoba,05/17/2020,63.8,40.56
Manitoba,05/18/2020,66.7,31.15
New Brunswick,03-12-2020,27.5,57.85
New Brunswick,03/13/2020,29.5,78.85
